,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,namibe,-15.1961,12.1522,64.94,85,65,6.44,AO,1626302663
84,kikwit,-5.041,18.8162,71.38,25,17,1.59,CD,1626302663
85,omsukchan,62.5333,155.8,63.27,59,100,8.95,RU,1626302663
86,shaowu,27.3409,117.4831,81.36,80,93,2.17,CN,1626302827
87,los andes,-32.8337,-70.5983,51.89,47,0,4.29,CL,1626302827
88,brigantine,39.4101,-74.3646,88.09,80,55,11.18,US,1626302827
89,kovdor,67.5662,30.4758,48.51,88,44,0.94,RU,1626302827
90,victoria,22.2855,114.1577,86.38,84,12,3.0,HK,1626302699
91,berettyoujfalu,47.2167,21.55,79.9,55,77,2.04,HU,1626302828
92,faya,18.3851,42.4509,68.11,69,100,7.65,SA,1626302828
93,iquitos,-3.7481,-73.2472,84.24,74,40,2.3,PE,1626302828
94,kamenka,51.3223,42.7678,66.81,88,6,7.45,RU,1626302829
95,shulan,44.4167,126.95,79.65,80,79,6.85,CN,1626302829
96,necochea,-38.5473,-58.7368,44.04,66,100,7.14,AR,1626302829
97,pandan,14.0453,124.1694,80.89,82,94,2.48,PH,1626302830
98,nishihara,26.1842,127.7558,85.28,79,75,8.05,JP,1626302830
99,jambi,-1.6,103.6167,69.75,97,99,2.04,ID,1626302830
100,tuktoyaktuk,69.4541,-133.0374,38.57,71,100,21.0,CA,1626302830
101,isangel,-19.55,169.2667,77.11,78,75,6.91,VU,1626302831
102,jardim,-21.4803,-56.1381,74.89,36,81,3.31,BR,1626302700
103,galesong,-5.3166,119.3661,73.42,78,97,11.41,ID,1626302831
104,rocha,-34.4833,-54.3333,50.99,97,100,8.03,UY,1626302831
105,mastic beach,40.7668,-72.8521,84.33,85,1,8.01,US,1626302832
106,haapiti,-17.5667,-149.8667,83.93,67,0,19.06,PF,1626302832
107,halifax,44.6453,-63.5724,68.41,78,98,3.0,CA,1626302608
108,aklavik,68.2191,-135.0107,41.4,66,99,20.15,CA,1626302538
109,fairview,40.8126,-73.999,86.58,68,1,0.0,US,1626302708
110,wattegama,6.7989,81.4808,77.2,75,96,2.91,LK,1626302561
111,djambala,-2.5447,14.7533,78.33,38,100,5.79,CG,1626302833
112,victor harbor,-35.5667,138.6167,57.47,85,9,1.99,AU,1626302833
113,krasnoselkup,65.7,82.4667,46.29,65,77,11.54,RU,1626302613
114,kropotkin,45.4375,40.5756,69.62,40,0,7.52,RU,1626302833
115,tashla,51.7716,52.7427,61.65,50,1,3.62,RU,1626302834
116,caruray,10.3094,119.0128,80.82,83,91,4.03,PH,1626302834
117,lulea,65.5842,22.1547,64.47,82,20,4.61,SE,1626302834
118,patan,27.6667,85.3333,71.98,88,75,4.61,NP,1626302835
119,wlingi,-8.0776,112.3311,68.23,91,91,4.74,ID,1626302835
120,ponte nova,-20.4164,-42.9086,62.64,80,7,4.63,BR,1626302835
121,liku,-0.7275,119.8922,75.9,93,100,1.32,ID,1626302835
122,petrovskaya,45.4314,37.955,72.09,43,0,9.17,RU,1626302836
123,zandvoort,52.3749,4.5341,66.97,92,75,13.8,NL,1626302836
124,port blair,11.6667,92.75,80.64,84,78,7.47,IN,1626302836
125,geraldton,-28.7667,114.6,59.41,72,75,19.57,AU,1626302837
126,galena park,29.7336,-95.2302,87.76,78,75,3.0,US,1626302837
127,kaitangata,-46.2817,169.8464,44.92,68,73,4.88,NZ,1626302837
128,cape town,-33.9258,18.4232,50.11,79,0,9.22,ZA,1626302837
129,bluff,-46.6,168.3333,44.8,60,85,7.61,NZ,1626302838
130,lovozero,68.005,35.0117,49.96,89,91,8.37,RU,1626302934
131,vallenar,-28.5708,-70.7581,57.42,58,0,1.86,CL,1626302934
132,talnakh,69.4865,88.3972,49.84,58,88,0.34,RU,1626302935
133,havelock,34.8791,-76.9013,85.98,83,22,1.99,US,1626302915
134,blind river,46.1834,-82.9582,75.45,71,74,9.01,CA,1626302935
135,urengoy,65.9667,78.3667,46.31,69,75,7.61,RU,1626302935
136,laiyang,36.9758,120.7136,76.03,94,100,9.46,CN,1626302936
137,georgetown,5.4112,100.3354,80.55,63,40,1.01,MY,1626302710
138,khuzhir,53.1939,107.3397,52.18,99,100,7.72,RU,1626302936
139,la crosse,43.8014,-91.2396,69.73,91,90,10.36,US,1626302936
140,sistranda,63.7256,8.834,60.76,93,69,17.09,NO,1626302937
141,sakakah,29.9697,40.2064,90.97,17,2,10.25,SA,1626302937
142,dawlatabad,36.4141,64.9053,78.8,21,1,2.44,AF,1626302937
143,ponta do sol,32.6667,-17.1,72.72,84,1,4.36,PT,1626302938
144,verkhnevilyuysk,63.4453,120.3167,51.66,84,100,8.43,RU,1626302938
145,kirakira,-10.4544,161.9205,83.89,75,74,15.23,SB,1626302938
146,marzuq,14.4,46.4667,77.95,47,100,4.9,YE,1626302938
147,mandiana,10.6333,-8.6833,74.43,88,80,5.91,GN,1626302939
148,polson,47.6936,-114.1632,95.11,31,1,4.0,US,1626302939
149,sinnamary,5.3833,-52.95,78.55,83,71,8.55,GF,1626302939
150,severo-kurilsk,50.6789,156.125,52.65,95,100,15.73,RU,1626302940
151,pundaguitan,6.3711,126.1689,81.54,78,82,3.18,PH,1626302940
152,abnub,27.2696,31.1511,84.56,25,22,7.09,EG,1626302940
153,susanville,40.4163,-120.653,96.64,6,1,14.0,US,1626302940
154,chapais,49.7834,-74.8492,68.45,66,67,9.66,CA,1626302941
155,deputatskiy,69.3,139.9,42.58,60,99,20.18,RU,1626302941
156,vostok,46.4856,135.8833,76.55,75,100,1.66,RU,1626302941
157,nome,64.5011,-165.4064,51.87,82,90,10.36,US,1626302942
158,svetlaya,46.5389,138.3297,71.49,84,100,9.08,RU,1626302942
159,fez,34.0372,-4.9998,79.05,44,0,3.44,MA,1626302942
160,kisanga,-7.4362,37.7034,69.55,98,67,3.18,TZ,1626302942
161,derzhavinsk,51.1,66.3167,50.7,66,68,7.09,KZ,1626302943
162,sisimiut,66.9395,-53.6735,43.61,92,92,7.65,GL,1626302943
163,srednekolymsk,67.45,153.6833,69.98,48,26,5.97,RU,1626302943
164,saint simons,31.1352,-81.3901,86.31,68,1,12.66,US,1626302944
165,alekseyevsk,57.8406,108.3492,63.86,92,100,3.87,RU,1626302944
166,angoche,-16.2325,39.9086,73.6,74,15,10.18,MZ,1626302944
167,yulara,-25.2406,130.9889,44.44,100,41,0.0,AU,1626302945
168,araouane,18.9048,-3.5265,95.7,26,0,16.49,ML,1626302945
169,magugu,-4.0167,35.7667,65.62,80,84,1.77,TZ,1626302945
170,mwinilunga,-11.7358,24.4293,57.34,48,4,2.84,ZM,1626302946
171,clyde river,70.4692,-68.5914,46.62,65,9,3.83,CA,1626302946
172,khatanga,71.9667,102.5,45.91,71,100,20.07,RU,1626303026
173,mandaguacu,-23.3472,-52.0953,71.2,46,0,5.75,BR,1626303026
174,nikolskoye,59.7035,30.7861,73.29,92,100,2.19,RU,1626303026
175,hilo,19.7297,-155.09,82.13,72,1,8.05,US,1626303026
176,bath,51.3779,-2.3591,64.96,81,52,3.13,GB,1626302738
177,broken hill,-31.95,141.4333,53.31,66,75,10.36,AU,1626303027
178,roma,43.2128,-75.4557,79.86,78,1,5.75,US,1626303027
179,alamosa,37.4695,-105.87,69.66,94,90,4.61,US,1626303027
180,zhob,31.3411,69.4481,74.7,72,2,2.13,PK,1626303028
181,russell,32.3502,-85.1999,89.51,65,75,9.22,US,1626303028
182,kamyshla,54.1169,52.1426,56.16,63,2,3.15,RU,1626303028
183,saldanha,-33.0117,17.9442,42.85,68,19,5.17,ZA,1626303029
184,ornskoldsvik,63.2909,18.7153,65.35,94,90,3.44,SE,1626303029
185,kajaani,64.2273,27.7285,60.85,82,0,2.3,FI,1626303029
186,khomeyn,33.6423,50.0789,74.12,18,0,3.94,IR,1626303029
187,lebu,-37.6167,-73.65,49.28,80,25,3.4,CL,1626303030
188,lac du bonnet,50.2536,-96.0612,80.58,25,11,7.2,CA,1626303030
189,hella,67.2,14.4333,64.54,76,75,10.36,NO,1626303030
190,avarua,-21.2078,-159.775,80.65,74,40,11.5,CK,1626303031
191,kushiro,42.975,144.3747,59.95,100,75,3.44,JP,1626303031
192,englehart,47.8169,-79.8664,72.12,74,73,8.48,CA,1626302777
193,herat,34.5,62.0,76.06,29,30,14.38,AF,1626303031
194,tall kayf,37.0833,41.0667,87.04,29,0,6.15,TR,1626303032
195,ronchi dei legionari,45.8236,13.5097,66.54,81,75,3.44,IT,1626303032
196,lagoa,39.05,-27.9833,68.5,83,100,14.7,PT,1626303032
197,sao gabriel da cachoeira,-0.1303,-67.0892,73.29,98,65,1.92,BR,1626303033
198,ushuaia,-54.8,-68.3,29.86,86,75,3.44,AR,1626302972
199,zhanakorgan,43.9098,67.2495,66.52,32,0,9.44,KZ,1626303033
200,murgab,37.4966,61.9714,78.67,34,75,4.61,TM,1626303033
201,mananara,-16.1667,49.7667,65.57,92,48,5.55,MG,1626303034
202,guatavita,4.9366,-73.8331,60.51,90,71,2.86,CO,1626303034
203,kaduna,10.5222,7.4383,71.58,91,100,1.23,NG,1626302967
204,zhaotong,27.3167,103.7167,62.82,94,100,4.41,CN,1626303034
205,xining,36.6167,101.7667,57.92,74,69,3.09,CN,1626303035
206,camacha,33.0833,-16.3333,66.96,77,75,12.66,PT,1626303035
207,ngunguru,-35.6167,174.5,56.16,59,7,7.25,NZ,1626303035
208,buluang,13.3068,123.3425,79.32,85,44,1.14,PH,1626303036
209,praia da vitoria,38.7333,-27.0667,71.85,73,75,8.72,PT,1626303036
210,bredasdorp,-34.5322,20.0403,42.12,87,90,6.91,ZA,1626303036
211,smoky lake,54.1169,-112.4686,90.48,28,78,12.86,CA,1626303036
212,ahar,38.4774,47.0699,60.46,75,56,5.48,IR,1626303037
213,cockburn town,21.4612,-71.1419,80.98,75,15,16.46,TC,1626303037
214,mapimi,25.8167,-103.85,78.17,51,100,10.56,MX,1626303037
215,ossora,59.2353,163.0719,56.12,97,100,3.38,RU,1626303038
216,cururupu,-1.8283,-44.8683,75.85,87,30,4.27,BR,1626303154
217,rio cuarto,-33.1307,-64.3499,47.97,66,0,3.44,AR,1626303042
218,chara,56.9064,118.2631,59.27,77,100,5.55,RU,1626303155
219,maldonado,-34.6667,-54.9167,52.23,96,100,8.95,UY,1626303155
220,luderitz,-26.6481,15.1594,57.43,36,0,7.7,NA,1626303155
221,hermanus,-34.4187,19.2345,49.89,78,78,6.98,ZA,1626303156
222,ballina,-28.8667,153.5667,64.36,77,100,8.05,AU,1626303156
223,richards bay,-28.783,32.0377,53.69,79,2,5.14,ZA,1626303156
224,murfreesboro,35.8456,-86.3903,90.23,53,1,5.75,US,1626303144
225,alofi,-19.0595,-169.9187,82.29,78,75,6.91,NU,1626303156
226,karratha,-20.7377,116.8463,63.23,60,18,11.18,AU,1626303157
227,fairbanks,64.8378,-147.7164,60.76,83,90,10.36,US,1626303032
228,stephenville,32.2207,-98.2023,89.94,51,40,10.36,US,1626303157
229,kalmunai,7.4167,81.8167,82.09,75,100,3.56,LK,1626303158
230,cayenne,4.9333,-52.3333,81.09,84,61,3.0,GF,1626303158
231,shangrao,28.4532,117.9686,82.65,79,7,3.89,CN,1626303158
232,pisco,-13.7,-76.2167,68.05,73,30,21.85,PE,1626303158
233,ruteng,-8.6136,120.4721,58.89,84,82,3.78,ID,1626303159
234,palmas,-10.2128,-48.3603,80.47,47,0,4.61,BR,1626303136
235,pangody,65.85,74.4859,50.27,57,100,6.71,RU,1626303159
236,nelson bay,-32.7167,152.15,60.96,100,30,9.44,AU,1626303159
237,kerman,30.2832,57.0788,78.66,27,40,4.61,IR,1626303160
238,agropoli,40.3469,14.9966,73.29,75,0,6.26,IT,1626303160
239,tomatlan,19.9333,-105.25,88.75,57,100,5.88,MX,1626303160
240,mildura,-34.2,142.15,52.07,87,5,5.75,AU,1626303160
241,magadan,59.5667,150.8,65.07,64,96,13.47,RU,1626303161
242,churapcha,62.0025,132.4325,75.13,42,82,7.52,RU,1626303161
243,marrakesh,31.6315,-8.0083,82.47,34,0,5.75,MA,1626302927
244,meulaboh,4.1363,96.1285,75.6,86,97,3.67,ID,1626303161
245,zaria,11.1113,7.7227,73.15,85,100,5.59,NG,1626303162
246,upernavik,72.7868,-56.1549,39.61,97,100,15.14,GL,1626303162
247,dali,25.7,100.1833,62.85,95,100,4.36,CN,1626303162
248,benguela,-12.5763,13.4055,68.07,90,11,6.33,AO,1626303162
249,riyadh,24.6877,46.7219,89.74,16,82,6.51,SA,1626303158
250,sola,-13.8833,167.55,81.27,78,75,9.22,VU,1626303163
251,leningradskiy,69.3833,178.4167,45.79,88,99,8.08,RU,1626303163
252,mathathane,-22.2687,28.7495,56.61,63,100,16.08,BW,1626303163
253,jatai,-17.8814,-51.7144,69.91,35,2,4.83,BR,1626303164
254,cuitareo,19.6167,-100.6,60.6,77,88,1.23,MX,1626303164
255,qaanaaq,77.484,-69.3632,38.77,98,100,1.79,GL,1626303164
256,manavalakurichi,8.1333,77.3,78.89,76,100,15.86,IN,1626303165
257,waipawa,-41.4122,175.5153,55.45,70,64,23.87,NZ,1626303165
258,abu samrah,35.3029,37.1841,76.32,65,0,9.35,SY,1626303165
259,mbutuy,-24.9667,-56.3,73.96,40,91,5.06,PY,1626303165
260,sur,22.5667,59.5289,84.49,74,100,3.65,OM,1626303166
261,cabo san lucas,22.8909,-109.9124,95.5,66,36,9.91,MX,1626303112
262,sobolevo,54.4299,31.8996,64.99,98,100,5.53,RU,1626303166
263,goma,-1.6792,29.2228,63.19,94,100,5.08,CD,1626303166
264,hervey bay,-25.2986,152.8535,72.03,84,42,4.0,AU,1626303699
265,lewisporte,49.2499,-55.0482,69.22,60,1,5.37,CA,1626303699
266,camabatela,-8.1881,15.375,58.78,54,58,2.73,AO,1626303699
267,okhotsk,59.3833,143.3,71.82,50,0,13.42,RU,1626303700
268,tura,25.5198,90.2201,72.99,96,99,4.14,IN,1626303700
269,dublin,37.7021,-121.9358,90.5,44,0,10.0,US,1626303600
270,cimislia,46.52,28.7842,71.65,59,17,6.8,MD,1626303700
271,san juan,-31.5375,-68.5364,56.71,40,0,3.47,AR,1626303540
272,mutis,6.2262,-77.4044,79.02,87,63,3.06,CO,1626303701
273,terrace,54.5163,-128.6035,71.42,41,100,4.38,CA,1626303701
274,faanui,-16.4833,-151.75,79.65,75,68,20.18,PF,1626303701
275,urumqi,43.801,87.6005,63.55,68,0,2.24,CN,1626303702
276,bandrele,-12.9067,45.1914,73.15,78,0,8.05,YT,1626303702
277,kavali,14.9167,79.9833,78.42,78,100,17.54,IN,1626303702
278,nouadhibou,20.931,-17.0347,67.51,90,1,18.19,MR,1626303703
279,clearwater,27.9659,-82.8001,82.06,83,75,3.44,US,1626303521
280,salalah,17.0151,54.0924,79.2,92,100,4.29,OM,1626303703
281,kabo,7.6994,18.629,68.86,95,100,0.89,CF,1626303704
282,new norfolk,-42.7826,147.0587,49.75,91,71,1.97,AU,1626303704
283,kitakata,37.65,139.8667,72.32,86,67,2.26,JP,1626303705
284,saryozek,44.3583,77.9753,62.51,63,74,4.63,KZ,1626303705
285,adeje,28.1227,-16.726,75.22,73,0,2.3,ES,1626303706
286,acarau,-2.8856,-40.12,79.3,83,80,17.45,BR,1626303609
287,grajau,-5.8194,-46.1386,81.61,41,32,2.8,BR,1626303706
288,mar del plata,-38.0023,-57.5575,51.13,70,0,5.99,AR,1626303551
289,tiksi,71.6872,128.8694,43.52,67,93,22.44,RU,1626303706
290,ust-barguzin,53.45,108.9833,51.21,100,100,2.33,RU,1626303707
291,mabaruma,8.2,-59.7833,75.78,92,64,4.0,GY,1626303707
292,narsaq,60.9167,-46.05,52.02,78,18,3.58,GL,1626303708
293,airai,-8.9266,125.4092,59.76,73,100,3.33,TL,1626303708
294,lazaro cardenas,17.9583,-102.2,85.14,74,78,8.14,MX,1626303708
295,kshenskiy,51.8408,37.7136,67.95,71,0,5.06,RU,1626303708
296,saint-leu,-21.15,55.2833,67.03,74,14,5.79,RE,1626303709
297,hami,42.8,93.45,78.96,40,100,12.84,CN,1626303709
298,provideniya,64.3833,-173.3,48.31,81,20,15.66,RU,1626303710
299,aranda de duero,41.6704,-3.6892,55.47,73,64,5.97,ES,1626303710
300,maxixe,-23.8597,35.3472,67.98,63,97,12.41,MZ,1626303710
301,pemba,-12.974,40.5178,68.7,83,20,6.91,MZ,1626303711
302,pontes e lacerda,-15.2261,-59.3353,78.21,36,0,2.77,BR,1626303711
303,ilulissat,69.2167,-51.1,41.02,87,75,13.8,GL,1626303711
304,awjilah,29.1081,21.2869,84.45,34,59,11.63,LY,1626303712
305,mogadishu,2.0371,45.3438,76.08,77,52,20.15,SO,1626303712
306,aguimes,27.9054,-15.4461,69.66,73,20,32.21,ES,1626303712
307,pevek,69.7008,170.3133,39.88,89,100,1.66,RU,1626303713
308,grand gaube,-20.0064,57.6608,72.7,65,76,16.02,MU,1626303713
309,voh,-20.9667,164.7,73.08,58,8,6.06,NC,1626303713
310,eyl,7.9803,49.8164,78.55,72,54,24.52,SO,1626303714
311,amposta,40.7131,0.581,73.18,57,90,5.1,ES,1626303714
312,east stroudsburg,40.9995,-75.1813,85.08,82,31,4.9,US,1626303841
313,general roca,-39.0333,-67.5833,52.57,43,25,16.13,AR,1626303841
314,gagra,43.3283,40.2239,69.66,72,45,6.62,GE,1626303841
315,fuzhou,26.0614,119.3061,79.57,86,49,2.44,CN,1626303841
316,padang,-0.9492,100.3543,75.33,71,94,3.98,ID,1626303842
317,comodoro rivadavia,-45.8667,-67.5,48.76,47,53,26.66,AR,1626303842
318,ust-tsilma,65.441,52.1498,58.15,87,99,1.81,RU,1626303842
319,torbay,47.6666,-52.7314,64.15,100,4,15.5,CA,1626303843
320,fort nelson,58.8053,-122.7002,79.74,33,67,7.49,CA,1626303843
321,twin falls,42.3505,-114.6445,89.94,21,1,10.36,US,1626303843
322,teya,60.3778,92.6267,61.95,80,47,2.57,RU,1626303844
323,ankazoabo,-22.2833,44.5167,62.98,63,0,11.18,MG,1626303844
324,fuyang,32.9,115.8167,82.8,88,82,6.42,CN,1626303844
325,colares,38.7992,-9.4469,75.45,52,64,14.38,PT,1626303844
326,ahipara,-35.1667,173.1667,55.74,60,8,5.66,NZ,1626303845
327,parnarama,-5.6817,-43.0933,85.12,35,54,3.38,BR,1626303845
328,tuatapere,-46.1333,167.6833,45.82,75,76,1.86,NZ,1626303845
329,sioux lookout,50.1001,-91.917,76.8,27,35,6.69,CA,1626303639
330,beisfjord,68.3751,17.5988,67.05,66,100,3.51,NO,1626303846
331,yurty,56.0498,97.6348,64.45,73,16,1.86,RU,1626303846
332,bridlington,54.0831,-0.1919,63.28,90,64,6.91,GB,1626303847
333,carnarvon,-24.8667,113.6333,63.84,56,66,17.29,AU,1626303847
334,atambua,-9.1061,124.8925,71.51,77,100,5.06,ID,1626303847
335,goderich,43.7501,-81.7165,81.21,80,17,9.4,CA,1626303693
336,parrita,9.5201,-84.3225,89.37,85,100,0.2,CR,1626303848
337,kavaratti,10.5669,72.642,82.72,81,98,18.86,IN,1626303848
338,dikson,73.5069,80.5464,35.89,91,100,12.73,RU,1626303848
339,adre,13.4667,22.2,77.86,66,87,6.22,TD,1626303849
340,tianpeng,30.9866,103.9393,73.36,97,100,14.23,CN,1626303849
341,swellendam,-34.0226,20.4417,46.87,62,76,4.47,ZA,1626303850
342,koundara,12.4833,-13.3,76.59,88,97,7.25,GN,1626303850
343,acapulco,16.8634,-99.8901,84.65,78,63,5.28,MX,1626303580
344,weymouth,42.2209,-70.9398,84.07,86,75,1.01,US,1626303850
345,gambela,8.25,34.5833,68.94,93,100,3.27,ET,1626303851
346,goreloye,52.937,41.5043,68.25,85,34,3.44,RU,1626303851
347,vertientes,21.2594,-78.1464,84.81,77,6,12.15,CU,1626303851
348,kroya,-7.6331,109.2461,70.2,83,100,6.33,ID,1626303852
349,mehamn,71.0357,27.8492,47.34,91,79,4.21,NO,1626303852
350,bengkulu,-3.8004,102.2655,74.66,72,100,3.47,ID,1626303852
351,jamestown,42.097,-79.2353,78.3,56,20,4.0,US,1626303624
352,shunyi,40.125,116.6453,80.83,94,99,2.24,CN,1626303853
353,huangchuan,32.1272,115.0394,82.87,83,95,4.92,CN,1626303853
354,kenora,49.8167,-94.4337,75.18,25,67,5.08,CA,1626303703
355,hay river,60.8156,-115.7999,64.89,88,95,13.27,CA,1626303609
356,conceicao da barra,-18.5933,-39.7322,70.3,89,1,5.17,BR,1626303853
357,sulangan,11.1373,123.7228,83.35,72,84,2.57,PH,1626303956
358,oktyabrskoye,43.0645,44.7417,55.54,93,42,6.71,RU,1626303956
359,bilibino,68.0546,166.4372,57.92,70,100,4.07,RU,1626303957
360,waycross,31.2136,-82.354,92.32,58,1,8.05,US,1626303957
361,carpinteria,34.3989,-119.5185,97.11,63,26,6.46,US,1626303957
362,preobrazheniye,42.9019,133.9064,72.05,77,3,4.14,RU,1626303957
363,yumen,40.2833,97.2,73.18,45,85,5.37,CN,1626303958
364,yermakovskoye,53.2831,92.4003,62.01,96,100,3.42,RU,1626303958
365,kibala,9.1104,18.3463,70.88,95,94,4.63,TD,1626303958
366,pochutla,15.7432,-96.4661,87.82,71,100,3.94,MX,1626303959
367,mirnyy,62.5353,113.9611,54.41,73,100,12.06,RU,1626303959
368,nogales,31.3086,-110.9422,88.95,54,1,4.61,MX,1626303959
369,aloleng,16.1307,119.7824,82.13,78,89,4.9,PH,1626303959
